rating,stars,pitches,type,city,state
Calypso,5.6,4.0,3,Trad,Boulder,Colorado
Ten-Digit Dialing,5.12c,4.6,1,Sport,Golden,Colorado
Slammer,5.12b,4.5,1,Sport,Golden,Colorado
Sucking My Will to Live,5.12c,4.5,1,Sport,Golden,Colorado
Fandango Variation,5.6,3.9,6,Trad,Boulder,Colorado
Dry Ice,5.11c,3.8,1,Sport,Boulder,Colorado
Divination,5.11b,4.2,3,Sport,Boulder,Colorado
Mrs. Hen Places a Peck,5.11d,3.6,1,"Sport, TR",Golden,Colorado
Wing Ding,5.10a,3.5,1,"Sport, TR",Boulder,Colorado
Swanson Arete,5.5,4.1,3,Trad,Boulder,Colorado
Tigger,5.6,3.7,3,Trad,Boulder,Colorado
Country Club Crack,5.11c,4.9,2,Trad,Boulder,Colorado
Vertigo,5.11b,4.8,4,Trad,Boulder,Colorado
Blackwalk,5.10b/c R,4.0,4,Trad,Boulder,Colorado
Quiver and Quill,5.10c,4.5,1,Trad,South Platte,Colorado
Grizabella,5.6,3.0,1,Sport,Golden,Colorado
The Mustard Seed,5.8,3.0,1,Sport,Boulder,Colorado
Mesca-Line,5.7+,3.6,1,Trad,Boulder,Colorado
The Unsaid,5.9,3.8,1,Trad,Boulder,Colorado
Dust Lust,5.10d,3.0,1,Sport,Canon City,Colorado
Anarchy Rules,5.12b,4.0,1,Sport,Golden,Colorado
Gonzo,5.8,3.9,2,Trad,Boulder,Colorado
Kor's Flake,5.7+,4.6,6,Trad,Estes Park Valley,Colorado
Finger Crack,5.11b,4.1,1,"Trad, TR",Estes Park Valley,Colorado
Undercling Right,5.9-,3.0,1,"Trad, TR",Estes Park Valley,Colorado
North Face,5.6,4.1,3,Trad,Boulder,Colorado
On Ballet,5.9,3.5,3,Trad,Boulder,Colorado
William's Pull,V5-6,2.6,,Boulder,Boulder,Colorado
Moderate Bulge,V1,3.3,,Boulder,Boulder,Colorado
Poling Pebble,V5,3.6,,Boulder,Boulder,Colorado
Teething Biscuit,5.10a,3.3,1,TR,Denver South,Colorado
Norman Rockshoes,5.9+,3.4,1,Sport,Denver South,Colorado
A Brief History of Time,5.9,3.3,1,Trad,Boulder,Colorado
One-move Wonder,V0,3.0,,Boulder,Estes Park Valley,Colorado
In Between the Lines,5.9-,2.8,1,"Sport, TR",Golden,Colorado
Are You Experienced?,5.6,2.6,1,Trad,Denver South,Colorado
First Impressions,5.9+,3.6,1,Sport,Golden,Colorado
Poser Free Zone,5.12a,3.7,1,Sport,South Platte,Colorado
Elliptical Seasons,5.12a,4.1,1,Sport,South Platte,Colorado
Hot Stuff,5.10,3.9,1,Sport,Golden,Colorado
Luhr's Route aka Right Dihedral,5.8,3.8,1,Trad,Grand Junction Area,Colorado
Weekend Warrior,5.12c/d,5.0,,"Sport, TR",Estes Park Valley,Colorado
Thought Control,5.9+,3.4,1,Sport,Boulder,Colorado
The Monkey Wrench,5.12b/c,2.0,1,Sport,Boulder,Colorado
The Bruise Collector,5.12a,3.9,1,Sport,Lyons,Colorado
Psycho,5.11a/b,4.0,3,Sport,Boulder,Colorado
Burning Chrome,5.11c/d,3.6,1,Sport,Golden,Colorado
Black Face,5.12b/c,5.0,,Sport,Boulder,Colorado
Frictionary,5.7,2.6,1,"Sport, TR",Boulder,Colorado
Extra Point,5.6 R,4.0,5,Trad,Boulder,Colorado
Crake Flack,5.7,2.5,1,"Trad, TR",Denver South,Colorado
You're Ugly and Your Mother Dresses You Funny,5.8,3.1,2,Trad,Boulder,Colorado
Quartz Sports,5.12b,4.5,1,Sport,Golden,Colorado
Generation Gap,5.11a,3.2,1,Sport,Golden,Colorado
The Cavity,5.10b,3.1,1,Trad,Estes Park Valley,Colorado
The Gym Arete,5.12a,4.7,1,Sport,Canon City,Colorado
9 to 5,5.10d,2.5,1,Sport,Canon City,Colorado
The Fully Clothed Edge,5.10a,3.0,1,Sport,Denver South,Colorado
L.A. Law,5.10a,1.8,1,Sport,Golden,Colorado
Breakfast Club,5.12a,2.8,1,Sport,Golden,Colorado
Little Crack,V-easy,3.4,,Boulder,Fort Collins,Colorado
Viagra Falls,5.12b/c,3.9,1,Sport,Golden,Colorado
Blondes' Way,5.6,2.0,1,Trad,Denver South,Colorado
Stiff Upper Lip,5.12a,2.9,1,Sport,Golden,Colorado
Monkey Bars,5.12a/b,3.6,1,Sport,Golden,Colorado
Honky Jam Ass Crack,5.7,3.7,1,Trad,South Platte,Colorado
The Outsider,5.11c,3.5,1,Sport,Golden,Colorado
Chimney Sweep,5.5,2.0,1,TR,Denver South,Colorado
Alan's Seam,5.10a,3.4,1,Sport,Golden,Colorado
This Bone's For You,5.9-,2.9,1,Sport,Golden,Colorado
Old Man River,5.10c,3.4,1,Sport,Golden,Colorado
Good Man Dan,5.10a,3.0,1,Sport,Golden,Colorado
Captain Fist,5.8,3.1,,Trad,South Platte,Colorado
